Login,Average
,19.64
,14.40
,9.32
,16.44
,15.86
,7.33
,14.33
,17.67
,16.09
,5.61
,0.00
,14.75
,0.00
,18.66
,16.13
,13.29
,19.93
,18.07
,11.15
,18.22
,17.17
,16.56
,14.74
,14.46
,14.76
,17.63
,18.03
,2.43
,19.16
,17.17
,18.69
,13.08
,4.91
,16.59
,18.58
,18.72
,19.30
,19.14
,11.02
,14.65
,17.02
,19.86
,13.74
,17.30
,10.50
,12.24
,18.33
,18.27
,17.90
,15.40
,16.25
,16.16
,17.67
,19.33
,17.52
,15.96
,19.67
,7.91
,14.57
,19.11
,13.92
,16.25
,14.76
,11.75
,17.78
,12.28
,13.06
,18.48
,0.00
,12.75
,17.10
,19.17
,18.81
,12.51
,0.00
,17.57
,12.83
,12.92
,19.14
,12.36
,17.45
,6.31
,10.46
,0.00
,19.26
,18.83
,17.36
,10.82
,18.43
,10.65
,16.39
,19.05
,18.67
,16.30
,14.07
,19.14
,0.00
,17.67
,16.00
,15.36
,9.36
,16.65
,12.16
,10.03
,17.56
,18.48
,16.96
,19.17
,16.54
,17.67
,20.00
,0.00
,18.04
,14.53
,18.78
,12.00
,17.72
,9.91
,12.34
,18.30
,16.57
,12.99
,12.12
,11.52
,15.19
,4.86
,8.37
,11.46
,0.00
,11.09
,19.28
,13.15
,12.05
,18.09
,16.23
,5.90
,16.68
,13.75
,19.17
,15.99
,14.77
,16.08
,19.42
,16.69
,5.36
,15.60
,14.32
,7.56
,15.90
,0.00
,14.27
,16.11
,0.00
,15.53
,19.08
,11.14
,0.00
,18.98
,15.65
,15.49
,17.92
,16.49
,5.22
,16.84
,16.19
,17.13
,18.25
,15.91
,14.10
,19.75
,19.05
,15.72
,16.97
,10.93
,15.77
,14.72
,7.84
,15.21
,17.94
,18.76
,18.51
,15.07
,18.81
,17.60
,0.00
,14.45
,14.47
,17.46
,0.00
,17.57
,0.00
,12.45
,13.38
,16.68
,18.25
,11.92
,15.63
,0.00
,10.94
,15.23
,14.53
,17.10
,17.96
,16.03
,15.81
,12.37
,16.78
,16.61
,3.75
,15.25
,0.00
,14.63
,8.86
,14.78
,13.91
,17.26
,10.95
,6.70
,17.76
,17.83
,17.27
,16.45
,16.20
,4.70
,17.79
,8.22
,2.76
,15.94
,0.00
,0.00
,19.10
,19.33
,17.90
,18.07
,19.49
,13.63
,8.77
,12.44
,13.72
,13.05
,15.71
,0.00
,14.00
,17.13
,14.52
,7.99
,12.47
,15.87
,17.29
,14.40
,14.61
,14.23
,6.43
,17.83
,17.54
,17.38
,18.86
,18.25
,0.00
,19.20
,15.72
,17.56
,17.79
,15.54
,10.70
,18.61
,12.94
,7.63
,13.09
,0.00
,0.00
,6.96
,14.90
,19.19
,17.20
,13.08
,18.25
,17.66
,14.11
,14.52
,16.02
,15.16
,17.34
,3.95
,17.20
,17.79
,18.26
,14.39
,14.90
,0.00
,19.27
,15.15
,13.90
,19.35
,5.80
,0.00
,15.99
,16.19
,10.00
,14.52
,0.00
,10.29
,15.21
,16.75
,13.02
,14.38
,17.83
,9.00
,19.71
,11.73
,12.73
,17.64
,8.59
,14.66
,11.72
,12.52
,15.44
,3.95
,13.04
,11.30
,16.77
,17.71
,17.49
,9.79
,14.84
,0.00
,14.98
,16.02
,16.45
,17.10
,8.28
,17.32
,14.01
,10.98
