Login,Midterm
,17.76
,0.03
,11.22
,8.41
,16.04
,8.09
,17.17
,15.75
,18.94
,17.65
,10.68
,7.09
,14.11
,7.08
,14.94
,12.62
,8.94
,8.07
,8.14
,10.03
,18.00
,17.20
,
,17.94
,18.92
,8.56
,16.73
,19.93
,10.08
,10.00
,8.66
,8.92
,19.09
,15.42
,10.10
,8.11
,8.05
,2.05
,19.81
,16.37
,7.51
,12.99
,16.56
,13.20
,12.96
,14.33
