Login,Final
,19.07
,
,14.00
,8.72
,10.34
,7.09
,18.16
,12.60
,17.21
,15.75
,14.99
,12.72
,15.78
,4.53
,16.22
,5.05
,10.01
,3.14
,13.00
,4.00
,19.00
,18.22
,2.03
,17.62
,19.00
,9.13
,9.51
,15.13
,10.06
,13.79
,6.00
,11.31
,16.93
,11.25
,15.19
,6.12
,13.12
,3.09
,
,13.88
,4.12
,
,10.40
,13.02
,
,7.80
