Login,Defense 1
,13.00
,8.00
,16.00
,14.00
,16.00
,13.00
,15.50
,13.50
,13.50
,14.00
,15.50
,13.00
,16.00
,14.00
,11.00
,14.00
,15.50
,13.00
,13.00
,11.00
,13.00
,13.00
,8.00
,16.50
,15.50
,8.00
,15.50
,13.00
,16.00
,13.50
,14.00
,13.00
,16.50
,13.00
,11.00
,13.50
,13.00
,14.00
,16.50
,8.00
,14.00
,16.50
,15.50
,15.50
,15.50
,14.00
