Login,Average
,16.83
,5.36
,10.81
,8.90
,8.58
,3.06
,13.22
,7.58
,18.68
,13.43
,8.61
,8.34
,8.79
,15.85
,13.03
,19.23
,8.59
,11.63
,16.89
,3.25
,19.49
,18.53
,3.00
,17.98
,19.40
,7.96
,12.52
,15.00
,6.22
,9.62
,5.41
,7.50
,18.09
,18.13
,11.47
,7.65
,12.72
,11.16
,18.04
,15.74
,15.38
,14.90
,16.16
,10.58
,5.57
,17.43
