Promotion,Number of Homework,Average Count,Global Average,Average Median,Average Minimum,Average Maximum
2022,9,286.67,13.52,14.6,0.0,19.96
2022#,11,45.27,12.38,13.04,2.06,19.18
2023,6,329.5,14.12,16.29,0.0,20.0
